fullback,team,season_id,Cluster_Label,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation
Gary Naysmith,Everton,44,Defensive Specialist,6.2,6.0,5.9,5.9,8.2
Damián Nicolás Suárez Suárez,Getafe,90,Defensive Specialist,6.1,6.2,6.5,6.3,7.1
Jesús Navas González,Spain,282,Progressive Playmaker,6.6,6.8,5.7,5.7,7.4
Antonio Latorre Grueso,Valencia,4,Complete Fullback,6.2,6.7,7.9,6.0,5.4
Warren Zaire Emery,Paris Saint-Germain,235,Defensive Specialist,7.1,5.5,7.0,5.5,7.0
Valery Fernández Estrada,Girona,4,Attacking Wing-Back,6.3,6.9,6.4,5.9,6.6
Luis Jan Piers Advíncula Castrillón,Rayo Vallecano,4,Attacking Wing-Back,6.0,6.8,6.4,6.8,6.1
Fabien Centonze,Nantes,235,Complete Fullback,6.4,6.1,7.3,6.4,5.9
Akim Zedadka,Clermont Foot,108,Attacking Wing-Back,6.1,6.6,6.2,6.5,6.6
Leonidas Stergiou,VfB Stuttgart,281,Attacking Wing-Back,6.4,6.3,5.5,7.3,6.5
Gonzalo Ariel Montiel,Argentina,106,Attacking Wing-Back,6.3,6.8,5.5,6.8,6.6
Gabriel Gudmundsson,Lille,108,Complete Fullback,6.2,5.4,7.0,7.0,6.3
Malo Gusto,Lyon,108,Attacking Wing-Back,6.1,6.4,6.2,6.6,6.5
Mikel Balenziaga Oruesagasti,Athletic Club,4,Complete Fullback,6.2,6.1,7.7,6.4,5.4
Nicolas Louis Marcel Cozza,Montpellier,235,Attacking Wing-Back,6.4,6.7,6.1,7.1,5.5
Falaye Sacko,Saint-Étienne,108,Defensive Specialist,6.1,6.0,6.7,5.9,7.1
