player,team,season_id,finishing_quality,chance_creation,ball_progression,one_v_one,off_ball_movement,defensive_contribution,cluster_profile,relative_finishing_quality,relative_chance_creation,relative_ball_progression,relative_one_v_one,relative_off_ball_movement,relative_defensive_contribution
Senad Lulić,Lazio,27,7.0,4.55,5.5,7.0,7.0,7.62,Traditional Winger,0.5549999999999997,-1.8950000000000005,-0.9450000000000003,0.5549999999999997,0.5549999999999997,1.1749999999999998
Serge Gakpé,Genoa,27,7.0,5.3,5.12,7.0,7.0,7.39,Traditional Winger,0.5316666666666663,-1.168333333333334,-1.3483333333333336,0.5316666666666663,0.5316666666666663,0.921666666666666
Serge Gnabry,Germany,106,7.0,4.1,4.56,7.0,7.0,7.22,Traditional Winger,0.8533333333333326,-2.0466666666666677,-1.5866666666666678,0.8533333333333326,0.8533333333333326,1.0733333333333324
Sergi Roberto Carnicer,Barcelona,4,7.0,4.27,4.57,7.0,7.0,7.0,Traditional Winger,0.8599999999999994,-1.870000000000001,-1.5700000000000003,0.8599999999999994,0.8599999999999994,0.8599999999999994
Sergio Busquets i Burgos,Barcelona,90,7.0,4.0,4.48,7.0,7.0,7.0,Traditional Winger,0.919999999999999,-2.080000000000001,-1.6000000000000005,0.919999999999999,0.919999999999999,0.919999999999999
Sergio Canales Madrazo,Real Betis,90,7.0,4.17,5.45,7.0,7.0,7.0,Traditional Winger,0.7299999999999995,-2.1000000000000005,-0.8200000000000003,0.7299999999999995,0.7299999999999995,0.7299999999999995
Sergio Floccari,Bologna,27,7.0,4.8,4.71,7.0,7.0,7.31,Traditional Winger,0.6966666666666663,-1.5033333333333339,-1.5933333333333337,0.6966666666666663,0.6966666666666663,1.006666666666666
Sergio Gómez Martín,Huesca,90,7.0,4.0,5.58,7.0,7.0,7.99,Traditional Winger,0.5716666666666663,-2.4283333333333337,-0.8483333333333336,0.5716666666666663,0.5716666666666663,1.5616666666666665
Sheraldo Becker,Union Berlin,281,7.0,4.07,4.8,7.0,7.0,7.0,Traditional Winger,0.8549999999999995,-2.075,-1.3450000000000006,0.8549999999999995,0.8549999999999995,0.8549999999999995
Simone Pepe,Chievo,27,7.0,4.51,5.0,7.0,7.0,7.0,Traditional Winger,0.748333333333334,-1.7416666666666663,-1.251666666666666,0.748333333333334,0.748333333333334,0.748333333333334
