midfielder,minutes_played,pass_control,ball_progression,defensive_contribution,creative_output,matches_played,team,competition_id,season_id,avg_minutes_per_match,full_match_equivalent,composite_score
Douglas Luiz Soares de Paulo,42,3.51,7.7,4.39,2.07,2,Girona,11,4,21.0,0.5,4.4175
Haris Belkebla,181,6.09,2.58,6.91,2.07,2,Stade Brestois,7,235,90.5,2.0,4.4125
Leonardo Bittencourt,147,6.16,4.53,2.52,4.42,2,Werder Bremen,9,281,73.5,1.6,4.407500000000001
Denis Huseinbašić,82,5.9,2.19,7.46,2.07,2,FC Köln,9,281,41.0,0.9,4.405
Pape Gueye,164,5.42,2.28,3.9,6.02,3,Senegal,43,106,54.7,1.8,4.404999999999999
Matt Holland,179,4.16,2.04,9.34,2.07,2,Charlton Athletic,2,44,89.5,2.0,4.4025
Lazaros Christodoulopoulos,121,1.32,9.09,5.12,2.07,5,Sampdoria,12,27,24.2,1.3,4.4
Jaime Seoane Valenciano,104,4.74,7.22,3.56,2.07,2,Huesca,11,90,52.0,1.2,4.3975
Jozabed Sánchez Ruiz,91,6.99,0.85,7.65,2.07,1,Celta Vigo,11,4,91.0,1.0,4.39
Nemanja Gudelj,82,7.2,7.22,1.07,2.07,2,Serbia,55,282,41.0,0.9,4.39
Veljko Birmančević,12,2.81,9.61,3.04,2.07,1,Toulouse,7,235,12.0,0.1,4.3825
Ismaël Gharbi,14,0.49,9.77,5.2,2.07,2,Paris Saint-Germain,7,235,7.0,0.2,4.3825
Roy Keane,185,6.23,2.07,7.14,2.07,2,Manchester United,2,44,92.5,2.1,4.3775
Enes Ünal,74,4.57,9.4,1.47,2.07,2,Real Valladolid,11,42,37.0,0.8,4.3775
Saúl Ñíguez Esclapez,183,4.68,5.44,2.59,4.78,2,Atlético Madrid,11,4,91.5,2.0,4.3725000000000005
Liam Ridgewell,2,0.93,0.85,5.71,10.0,1,Aston Villa,2,44,2.0,0.0,4.3725000000000005
Joaquín Sánchez Rodríguez,17,4.35,7.13,3.92,2.07,1,Real Betis,11,42,17.0,0.2,4.3675
Angelo Stiller,90,5.68,3.3,2.4,6.09,1,VfB Stuttgart,9,281,90.0,1.0,4.3675
Miroslav Klose,219,3.45,3.23,2.56,8.23,6,Lazio,12,27,36.5,2.4,4.3675
Kenny Miller,90,1.53,8.63,5.23,2.07,1,Wolverhampton Wanderers,2,44,90.0,1.0,4.365
Óscar Mingueza García,21,8.43,6.42,0.52,2.07,1,Barcelona,11,90,21.0,0.2,4.359999999999999
Marko Grujić,17,4.09,9.45,1.83,2.07,1,Serbia,43,106,17.0,0.2,4.359999999999999
Eljif Elmas,8,8.43,6.42,0.52,2.07,1,RB Leipzig,9,281,8.0,0.1,4.359999999999999
Kevin Stöger,93,4.98,4.56,2.91,4.98,1,Bochum,9,281,93.0,1.0,4.3575
Matías Ezequiel Vargas Martín,30,2.81,2.44,4.41,7.74,1,Espanyol,11,42,30.0,0.3,4.35
Julian Jeanvier,86,8.43,5.73,1.16,2.07,1,Auxerre,7,235,86.0,1.0,4.3475
Martin Hongla Yma II,121,6.04,3.35,1.57,6.41,2,Cameroon,43,106,60.5,1.3,4.3425
Roberto Suárez Pier,86,6.72,4.66,3.89,2.07,1,Levante UD,11,90,86.0,1.0,4.335
Nicolas Moumi Ngamaleu,82,1.7,3.83,3.85,7.95,1,Cameroon,43,106,82.0,0.9,4.3325000000000005
Deian Cristian Sorescu,29,2.81,7.13,5.29,2.07,1,Romania,55,282,29.0,0.3,4.325
Mikel Oyarzabal Ugarte,184,5.41,4.76,1.27,5.86,2,Real Sociedad,11,4,92.0,2.0,4.325
Alexander Merkel,56,2.27,4.39,8.55,2.07,1,Udinese,12,27,56.0,0.6,4.32
Joey Veerman,204,6.38,2.06,2.28,6.56,6,Netherlands,55,282,34.0,2.3,4.319999999999999
Mikel Rico Moreno,153,6.76,5.09,3.35,2.07,2,Huesca,11,90,76.5,1.7,4.3175
Roque Mesa Quevedo,129,6.33,4.77,4.09,2.07,2,Real Valladolid,11,90,64.5,1.4,4.3149999999999995
Evann Guessand,65,1.99,9.28,3.92,2.07,1,Nantes,7,235,65.0,0.7,4.3149999999999995
Nikola Vukčević,87,5.9,2.63,6.65,2.07,2,Levante UD,11,42,43.5,1.0,4.3125
Ricardo Kishna,47,0.4,8.15,1.17,7.52,2,Lazio,12,27,23.5,0.5,4.3100000000000005
Gaëtan Perrin,33,4.82,9.81,0.52,2.07,1,Auxerre,7,235,33.0,0.4,4.305
Adnan Januzaj,32,5.25,7.13,2.75,2.07,1,Real Sociedad,11,42,32.0,0.4,4.3
José Ignacio Peleteiro Ramallo,61,2.81,7.94,4.37,2.07,1,Deportivo Alavés,11,90,61.0,0.7,4.2975
Julian Brandt,174,5.14,3.09,2.71,6.24,2,Borussia Dortmund,9,281,87.0,1.9,4.295
Ronaldo Pompeu da Silva,112,5.13,3.6,4.22,4.23,3,Empoli,12,27,37.3,1.2,4.295
Lee Bowyer,81,1.36,8.51,5.21,2.07,2,Newcastle United,2,44,40.5,0.9,4.2875
Nuno Mendes,39,2.13,5.26,7.68,2.07,1,Paris Saint-Germain,7,235,39.0,0.4,4.285
Takumi Minamino,31,0.83,9.77,4.45,2.07,1,AS Monaco,7,235,31.0,0.3,4.28
Assim Omer Al Haj Madibo,153,4.72,2.09,5.65,4.65,2,Qatar,43,106,76.5,1.7,4.2775
Filippo Porcari,191,4.55,2.83,2.8,6.92,4,Carpi,12,27,47.8,2.1,4.275
Arkadiusz Milik,97,3.66,2.79,8.57,2.07,2,Poland,43,106,48.5,1.1,4.2725
Anastasios Donis,28,0.63,9.94,4.45,2.07,1,Stade de Reims,7,108,28.0,0.3,4.2725
Matěj Jurásek,39,2.23,4.93,2.1,7.81,1,Czech Republic,55,282,39.0,0.4,4.2675
Luca Checchin,107,5.04,5.13,4.83,2.07,4,Hellas Verona,12,27,26.8,1.2,4.2675
Jean-Mattéo Bahoya Négoce,13,5.25,9.23,0.52,2.07,1,Eintracht Frankfurt,9,281,13.0,0.1,4.2675
Darren Ambrose,85,2.01,8.49,4.48,2.07,2,Newcastle United,2,44,42.5,0.9,4.2625
Houssem Aouar,26,5.9,0.85,1.39,8.91,1,Lyon,7,235,26.0,0.3,4.2625
Adil Aouchiche,66,4.84,8.04,2.08,2.07,2,Saint-Étienne,7,108,33.0,0.7,4.257499999999999
Steffen Tigges,16,2.81,7.94,4.19,2.07,1,FC Köln,9,281,16.0,0.2,4.2525
Andriy Yarmolenko,110,1.02,6.13,7.79,2.07,3,Ukraine,55,282,36.7,1.2,4.2525
Alan Virginius,39,4.69,8.94,1.31,2.07,2,Lille,7,235,19.5,0.4,4.2524999999999995
Serdar Gürler,32,2.81,9.61,2.5,2.07,1,Huesca,11,4,32.0,0.4,4.2475
Yuki Soma,81,3.87,7.7,3.32,2.07,1,Japan,43,106,81.0,0.9,4.24
Ritsu Doan,90,0.98,2.97,6.11,6.89,2,Japan,43,106,45.0,1.0,4.2375
Justin Gideon Njinmah,19,4.35,9.97,0.52,2.07,1,Werder Bremen,9,281,19.0,0.2,4.2275
Jean Emile Junior Onana Onana,67,7.27,4.09,3.48,2.07,1,Bordeaux,7,108,67.0,0.7,4.2275
Brennan Johnson,57,0.83,8.68,5.32,2.07,2,Wales,43,106,28.5,0.6,4.225
Federico Chiesa,89,2.33,8.08,4.39,2.07,1,Italy,55,282,89.0,1.0,4.2175
João Félix Sequeira,112,5.9,2.37,2.12,6.48,2,Portugal,55,282,56.0,1.2,4.2175
Diego Falcinelli,34,0.72,3.73,2.81,9.61,1,Sassuolo,12,27,34.0,0.4,4.217499999999999
Tomas Franco Tavares,32,4.35,0.85,9.57,2.07,1,Deportivo Alavés,11,90,32.0,0.4,4.21
Jan Schöppner,61,6.66,0.85,0.52,8.76,1,FC Heidenheim,9,281,61.0,0.7,4.1975
Steven Reid,45,2.35,5.52,1.4,7.52,1,Blackburn Rovers,2,44,45.0,0.5,4.1975
Bryan Cristante,140,6.57,3.95,1.8,4.46,3,Italy,55,282,46.7,1.6,4.195
James Scowcroft,178,2.24,3.45,6.76,4.33,2,Leicester City,2,44,89.0,2.0,4.195
Deniz Undav,84,7.76,4.39,2.55,2.07,1,VfB Stuttgart,9,281,84.0,0.9,4.1925
Iddrisu Baba Mohammed,107,3.48,5.35,5.85,2.07,2,Mallorca,11,42,53.5,1.2,4.1875
Eberechi Eze,78,2.14,8.61,3.91,2.07,2,England,55,282,39.0,0.9,4.1825
Ondřej Lingr,89,0.58,7.54,6.53,2.07,3,Czech Republic,55,282,29.7,1.0,4.18
Johann Lepenant,108,7.72,0.85,6.08,2.07,2,Lyon,7,235,54.0,1.2,4.18
Quinton Fortune Kolobea,91,2.29,4.01,8.34,2.07,1,Manchester United,2,44,91.0,1.0,4.1775
Tobias Kempe,25,2.81,0.85,3.32,9.73,1,Darmstadt 98,9,281,25.0,0.3,4.1775
Felix Kalu Nmecha,29,4.57,0.85,9.21,2.07,1,Borussia Dortmund,9,281,29.0,0.3,4.175
Mathieu Coutadeur,150,6.96,1.99,3.39,4.35,2,AC Ajaccio,7,235,75.0,1.7,4.172499999999999
Arbër Hoxha,11,1.62,9.88,3.1,2.07,1,Albania,55,282,11.0,0.1,4.1674999999999995
Iago Aspas Juncal,92,5.73,3.8,1.08,6.04,1,Celta Vigo,11,90,92.0,1.0,4.1625000000000005
Leon Goretzka,164,4.62,4.49,2.72,4.81,3,Germany,43,106,54.7,1.8,4.16
Vincent Pajot,94,8.43,2.63,3.51,2.07,1,Metz,7,108,94.0,1.0,4.159999999999999
Volodymyr Brazhko,178,3.64,1.89,6.0,5.1,3,Ukraine,55,282,59.3,2.0,4.157500000000001
Jeremie Frimpong,107,3.5,9.31,1.75,2.07,2,Bayer Leverkusen,9,281,53.5,1.2,4.1575
Khalil Fayad,6,5.9,0.85,0.52,9.36,1,Montpellier,7,235,6.0,0.1,4.1575
Eric Junior Dina Ebimbe,79,1.99,5.01,7.55,2.07,1,Eintracht Frankfurt,9,281,79.0,0.9,4.155
Armand Lauriente,15,0.83,9.61,4.07,2.07,1,Lorient,7,108,15.0,0.2,4.145
Ante Palaversa,11,3.66,0.85,10.0,2.07,1,Troyes,7,235,11.0,0.1,4.145
Francisco José Beltrán Peinado,111,7.81,5.26,1.43,2.07,2,Celta Vigo,11,90,55.5,1.2,4.1425
Trent Alexander-Arnold,121,6.16,2.06,1.28,7.05,2,England,55,282,60.5,1.3,4.1375
Fabio Carvalho,12,8.43,0.85,5.18,2.07,1,RB Leipzig,9,281,12.0,0.1,4.132499999999999
Rani Khedira,61,4.94,0.85,8.64,2.07,1,Union Berlin,9,281,61.0,0.7,4.125
Julian Weigl,183,7.5,0.85,6.02,2.07,2,Borussia Mönchengladbach,9,281,91.5,2.0,4.109999999999999
Dejan Ljubicic,179,5.03,4.01,2.66,4.73,2,FC Köln,9,281,89.5,2.0,4.1075
Lamine Sakho,59,2.17,4.81,1.92,7.52,1,Leeds United,2,44,59.0,0.7,4.1049999999999995
Denis Lemi Zakaria Lako Lado,62,6.2,3.53,4.61,2.07,2,Switzerland,43,106,31.0,0.7,4.1025
Takefusa Kubo,185,1.28,9.01,4.03,2.07,2,Mallorca,11,42,92.5,2.1,4.0975
Cristiano Ronaldo dos Santos Aveiro,90,1.32,8.11,4.87,2.07,1,Manchester United,2,44,90.0,1.0,4.0925
Stefano Mauri,292,6.74,2.53,2.48,4.61,7,Lazio,12,27,41.7,3.2,4.09
Youri Djorkaeff,91,3.8,2.09,1.31,9.15,1,Bolton Wanderers,2,44,91.0,1.0,4.0875
Alassane Pléa,93,3.36,4.39,2.89,5.67,1,Borussia Mönchengladbach,9,281,93.0,1.0,4.077500000000001
Sergio Gontán Gallardo,39,1.69,3.19,9.36,2.07,2,Real Valladolid,11,4,19.5,0.4,4.0775
Pedro Chirivella Burgos,182,6.87,2.23,2.02,5.19,2,Nantes,7,108,91.0,2.0,4.0775
Martin Andresen,92,4.77,6.03,3.42,2.07,1,Blackburn Rovers,2,44,92.0,1.0,4.0725
Karim Boudiaf,186,7.55,4.22,2.43,2.07,3,Qatar,43,106,62.0,2.1,4.0675
Pedro Mosquera Parada,89,7.29,3.88,3.02,2.07,1,Huesca,11,90,89.0,1.0,4.0649999999999995
Ulises Hernán de la Cruz Bernardo,96,0.6,4.01,6.36,5.27,2,Aston Villa,2,44,48.0,1.1,4.06
Anthony Le Tallec,50,4.96,6.42,2.75,2.07,1,Liverpool,2,44,50.0,0.6,4.05
Lazar Samardžić,11,3.87,6.42,3.83,2.07,1,Serbia,55,282,11.0,0.1,4.047499999999999
Nadiem Amiri,183,1.47,4.68,5.79,4.21,8,Bayer Leverkusen,9,281,22.9,2.0,4.0375
Patrice Evra,23,7.11,6.42,0.52,2.07,1,Juventus,12,27,23.0,0.3,4.03
Jonathan Osorio,126,6.11,5.67,2.26,2.07,3,Canada,43,106,42.0,1.4,4.0275
Moreto Moro Cassamã,90,5.49,2.21,2.24,6.16,2,Stade de Reims,7,108,45.0,1.0,4.025
Allan Romeo Nyom,95,0.49,6.76,6.78,2.07,1,Getafe,11,90,95.0,1.1,4.025
Aleix García Serrano,115,7.19,3.19,3.65,2.07,2,Girona,11,4,57.5,1.3,4.025
Jairo Izquierdo González,131,0.58,8.27,5.17,2.07,2,Cádiz,11,90,65.5,1.5,4.0225
Xavier Chavalerin,91,5.15,2.4,2.36,6.16,1,Troyes,7,108,91.0,1.0,4.0175
Farid El Melali,31,0.83,9.48,3.68,2.07,1,Angers,7,235,31.0,0.3,4.015
Franco Zuculini,20,2.81,6.03,5.15,2.07,1,Bologna,12,27,20.0,0.2,4.015
Josuha Guilavogui,92,7.55,2.36,1.16,4.97,1,Bordeaux,7,108,92.0,1.0,4.01
Stephane Dalmat,85,1.36,5.42,7.16,2.07,1,Tottenham Hotspur,2,44,85.0,0.9,4.0025
Ander Iturraspe Derteano,27,7.69,5.73,0.52,2.07,1,Espanyol,11,42,27.0,0.3,4.0025
Jaime Mata Arnaiz,91,1.92,4.39,2.3,7.4,1,Getafe,11,4,91.0,1.0,4.0024999999999995
Keith Gillespie,16,0.3,9.88,3.74,2.07,1,Leicester City,2,44,16.0,0.2,3.9975000000000005
Neill McCann,14,5.07,4.39,4.45,2.07,1,Southampton,2,44,14.0,0.2,3.995
Cyle Larin,32,1.18,4.81,0.52,9.47,1,Canada,43,106,32.0,0.4,3.995
Nawaf Shaker Al Abid,91,5.4,2.79,2.79,4.98,2,Saudi Arabia,43,106,45.5,1.0,3.99
Graham Stuart,183,4.13,2.73,3.24,5.85,2,Charlton Athletic,2,44,91.5,2.0,3.9875
Ignatius Kpene Ganago,22,0.83,9.95,3.1,2.07,1,Nantes,7,235,22.0,0.2,3.9875
Jewison Bennette,58,0.49,9.7,3.68,2.07,1,Costa Rica,43,106,58.0,0.6,3.985
Josep Señé Escudero,16,6.92,6.42,0.52,2.07,1,Mallorca,11,42,16.0,0.2,3.9825
Héctor Junior Firpo Adames,30,1.03,9.61,3.2,2.07,2,Barcelona,11,42,15.0,0.3,3.9775
Adrián Embarba Blázquez,73,1.4,7.58,4.85,2.07,1,Espanyol,11,42,73.0,0.8,3.975
Daniel García Carrillo,182,5.3,0.85,4.86,4.89,2,Athletic Club,11,4,91.0,2.0,3.9749999999999996
Jakub Moder,191,4.66,4.7,4.42,2.07,3,Poland,55,282,63.7,2.1,3.9625
Edouard Michut,28,4.94,2.09,6.74,2.07,2,Paris Saint-Germain,7,108,14.0,0.3,3.96
Fredrik Jensen,78,2.81,2.87,8.07,2.07,1,Augsburg,9,281,78.0,0.9,3.955
Omenuke Mfulu,77,4.09,3.35,6.31,2.07,1,Elche,11,90,77.0,0.9,3.955
Firas Tariq Nasser Al Albirakan,182,0.64,5.15,4.28,5.74,2,Saudi Arabia,43,106,91.0,2.0,3.9525
João Mário Naval da Costa Eduardo,80,7.03,3.11,3.6,2.07,1,Portugal,43,106,80.0,0.9,3.9525
Batista Mendy,167,6.53,2.5,1.89,4.85,2,Angers,7,235,83.5,1.9,3.9425000000000003
Mathias Flaga Olesen,13,5.07,0.85,0.52,9.33,1,FC Köln,9,281,13.0,0.1,3.9425
Jonas Martin,169,7.51,2.0,1.95,4.29,2,Rennes,7,108,84.5,1.9,3.9375
Daniele Verde,126,1.31,7.37,4.98,2.07,4,Frosinone,12,27,31.5,1.4,3.9325
Gaetano Monachello,36,1.18,3.53,8.95,2.07,2,Atalanta,12,27,18.0,0.4,3.9325
Julien Ponceau,2,2.81,0.85,9.96,2.07,1,Lorient,7,235,2.0,0.0,3.9225000000000003
Mason Mount,192,7.2,2.81,1.41,4.26,4,England,43,106,48.0,2.1,3.92
Miguel Baeza Pérez,47,1.84,3.19,1.58,9.06,1,Celta Vigo,11,90,47.0,0.5,3.9175000000000004
Kolo Habib Touré,15,6.66,6.42,0.52,2.07,1,Arsenal,2,44,15.0,0.2,3.9175
Mathys Tel,23,0.83,8.56,4.19,2.07,1,Bayern Munich,9,281,23.0,0.3,3.9125000000000005
Sylvain Wiltord,183,1.56,6.93,1.99,5.16,3,Arsenal,2,44,61.0,2.0,3.91
Bryan Mbeumo,62,0.62,0.85,5.22,8.91,1,Cameroon,43,106,62.0,0.7,3.9
Xherdan Shaqiri,93,3.49,1.97,1.98,8.16,1,Switzerland,43,106,93.0,1.0,3.9
Iñigo Pérez Soto,95,3.82,5.26,4.44,2.07,1,Osasuna,11,42,95.0,1.1,3.8975
Jonathan Douglas,75,2.81,5.52,5.18,2.07,1,Blackburn Rovers,2,44,75.0,0.8,3.895
Klaus Gjasula,23,2.81,0.85,9.85,2.07,1,Albania,55,282,23.0,0.3,3.895
Henri Camara,85,2.2,4.23,7.06,2.07,1,Wolverhampton Wanderers,2,44,85.0,0.9,3.89
Pierrick Capelle,60,6.92,3.73,2.83,2.07,1,Angers,7,235,60.0,0.7,3.8875
Lorenzo Jesús Morón García,12,8.43,0.85,4.19,2.07,1,Real Betis,11,4,12.0,0.1,3.885
Ali Assadalla Thaimn Qambar,29,2.81,9.12,1.52,2.07,1,Qatar,43,106,29.0,0.3,3.88
Jonathan Rodríguez Menéndez,67,1.53,7.7,4.19,2.07,1,Deportivo Alavés,11,4,67.0,0.7,3.8725000000000005
Sandro Altunashvili,55,2.81,6.07,4.52,2.07,2,Georgia,55,282,27.5,0.6,3.8675
Assane Demoya Gnoukouri,56,6.13,1.75,2.95,4.62,2,Inter Milan,12,27,28.0,0.6,3.8625
Alan Wright,90,3.42,5.06,4.89,2.07,1,Middlesbrough,2,44,90.0,1.0,3.8600000000000003
Elbasan Rashani,92,0.61,3.35,2.75,8.73,1,Clermont Foot,7,235,92.0,1.0,3.8600000000000003
Abdallahi Mohamed Mahmoud,23,2.81,7.13,3.42,2.07,1,Deportivo Alavés,11,42,23.0,0.3,3.8575
Atiba Hutchinson,157,7.07,4.33,1.95,2.07,3,Canada,43,106,52.3,1.7,3.855
Ramon Olamilekan Azeez,145,1.03,2.21,3.7,8.46,2,Granada,11,42,72.5,1.6,3.8500000000000005
Félix Lemaréchal,17,2.81,9.99,0.52,2.07,1,Stade Brestois,7,235,17.0,0.2,3.8475
Josip Juranović,8,2.81,9.99,0.52,2.07,1,Croatia,55,282,8.0,0.1,3.8475
Takuma Asano,19,1.62,7.94,3.74,2.07,1,Bochum,9,281,19.0,0.2,3.8425000000000002
Gaël Ondoua,44,7.11,0.85,5.31,2.07,2,Cameroon,43,106,22.0,0.5,3.835
Óscar Rodríguez Arnaiz,85,2.12,3.61,2.46,7.11,1,Leganés,11,4,85.0,0.9,3.825
Lucas Vázquez Iglesias,3,2.81,0.85,9.57,2.07,1,Real Madrid,11,42,3.0,0.0,3.825
Yan Brice Eteki,151,7.65,1.97,3.6,2.07,2,Granada,11,90,75.5,1.7,3.8225000000000002
Francisco Portillo Soler,129,2.04,3.47,3.62,6.16,2,Getafe,11,4,64.5,1.4,3.8225
Rohan Ricketts,11,2.81,9.88,0.52,2.07,1,Tottenham Hotspur,2,44,11.0,0.1,3.8200000000000003
Carlos Alberto Rodríguez Gómez,44,1.11,7.62,4.46,2.07,2,Mexico,43,106,22.0,0.5,3.8150000000000004
Mahdi Camara,173,6.72,3.31,3.08,2.07,2,Saint-Étienne,7,108,86.5,1.9,3.795
Rory Delap,183,3.23,4.2,5.68,2.07,2,Southampton,2,44,91.5,2.0,3.795
Laurent Robert,157,1.8,6.54,4.76,2.07,2,Newcastle United,2,44,78.5,1.7,3.7925
Anssumane Fati,107,0.41,4.31,5.35,5.1,4,Barcelona,11,42,26.8,1.2,3.7925
Stuart Armstrong,22,2.09,8.41,2.58,2.07,1,Scotland,55,282,22.0,0.2,3.7875
Manuel Locatelli,95,6.29,4.58,2.2,2.07,2,AC Milan,12,27,47.5,1.1,3.785
Presnel Kimpembe,94,6.52,4.92,1.62,2.07,1,Paris Saint-Germain,7,235,94.0,1.0,3.7824999999999998
Sergio Floccari,106,2.25,9.28,1.48,2.07,2,Bologna,12,27,53.0,1.2,3.77
Nicolas Höfler,187,5.45,3.57,3.96,2.07,2,Freiburg,9,281,93.5,2.1,3.7625
José Antonio Rodríguez Díaz,27,0.49,7.13,5.31,2.07,1,Granada,11,42,27.0,0.3,3.75
Rubén García Santos,69,3.83,0.85,1.65,8.67,1,Osasuna,11,90,69.0,0.8,3.75
Pape Matar Sarr,92,6.52,5.26,1.14,2.07,1,Metz,7,108,92.0,1.0,3.7475
Cheikhou Kouyaté,70,4.78,0.85,2.1,7.25,1,Senegal,43,106,70.0,0.8,3.745
José María Martín-Bejarano Serrano,28,8.43,0.85,3.61,2.07,1,Cádiz,11,90,28.0,0.3,3.7399999999999998
Roan Roberto Wilson Gordon,7,2.81,6.42,3.61,2.07,1,Costa Rica,43,106,7.0,0.1,3.7275
Ángel Montoro Sánchez,92,1.62,3.27,3.2,6.78,1,Granada,11,42,92.0,1.0,3.7175000000000002
Domagoj Bradarić,20,2.81,7.58,2.4,2.07,1,Lille,7,108,20.0,0.2,3.7150000000000003
Damien Johnson,90,4.27,7.34,1.13,2.07,1,Birmingham City,2,44,90.0,1.0,3.7024999999999997
Igor Zubeldia Elorza,145,4.26,4.5,3.96,2.07,2,Real Sociedad,11,4,72.5,1.6,3.6975
Robbie Savage,183,3.35,0.85,6.0,4.58,2,Birmingham City,2,44,91.5,2.0,3.695
Francis Joseph Coquelin,90,5.07,2.54,5.09,2.07,1,Valencia,11,42,90.0,1.0,3.6925
Darwin Daniel Machís Marcano,91,1.08,6.61,4.97,2.07,1,Granada,11,42,91.0,1.0,3.6825
Miguel Ângelo da Silva Rocha,95,5.9,0.85,5.91,2.07,1,Lille,7,108,95.0,1.1,3.6825
Achraf Hakimi Mouh,18,2.81,7.58,2.25,2.07,1,Paris Saint-Germain,7,108,18.0,0.2,3.6775
Ravel Morrison,67,4.64,3.64,2.09,4.32,4,Lazio,12,27,16.8,0.7,3.6725
Kouadio Emmanuel Koné,78,4.7,4.39,3.52,2.07,1,Borussia Mönchengladbach,9,281,78.0,0.9,3.67
Jesper Lindstrøm,122,1.1,4.57,6.88,2.07,2,Denmark,43,106,61.0,1.4,3.6550000000000002
Paul Bosvelt,154,2.13,2.01,4.02,6.39,2,Manchester City,2,44,77.0,1.7,3.6375
Sebastian Szymański,131,2.3,3.26,6.92,2.07,2,Poland,43,106,65.5,1.5,3.6375
Roberto Torres Morales,105,3.55,4.01,4.91,2.07,2,Osasuna,11,90,52.5,1.2,3.635
Unai Vencedor Paris,153,5.63,0.85,5.99,2.07,2,Athletic Club,11,90,76.5,1.7,3.635
Ilias Chair,46,5.9,6.03,0.52,2.07,1,Morocco,43,106,46.0,0.5,3.63
Jun-Ho Son,77,6.06,0.85,5.54,2.07,3,South Korea,43,106,25.7,0.9,3.63
Danny Tiatto,23,0.49,7.94,4.0,2.07,1,Manchester City,2,44,23.0,0.3,3.625
El Chadaille Bitshiabu,79,8.05,1.83,2.54,2.07,1,Paris Saint-Germain,7,235,79.0,0.9,3.6225000000000005
Waniss Taibi,17,2.81,0.85,8.75,2.07,2,Angers,7,235,8.5,0.2,3.62
Jonathan de Guzmán,112,0.71,6.63,2.37,4.75,5,Carpi,12,27,22.4,1.2,3.615
José Ángel Pozo la Rosa,27,2.81,8.23,1.35,2.07,1,Rayo Vallecano,11,4,27.0,0.3,3.615
Manuel Agudo Durán,68,4.84,0.85,6.7,2.07,1,Celta Vigo,11,90,68.0,0.8,3.615
Lohann Doucet,11,6.66,0.85,4.85,2.07,1,Nantes,7,235,11.0,0.1,3.6075
Jermain Defoe,40,0.93,8.8,2.63,2.07,1,Tottenham Hotspur,2,44,40.0,0.4,3.6075
Gaël Clichy,83,3.34,8.49,0.52,2.07,3,Arsenal,2,44,27.7,0.9,3.605
Salih Uçan,45,2.19,4.28,2.78,5.17,3,AS Roma,12,27,15.0,0.5,3.605
Gustavo Adolfo Puerta Molano,56,2.81,1.72,5.46,4.37,7,Bayer Leverkusen,9,281,8.0,0.6,3.59
Lovro Majer,143,3.41,3.58,3.18,4.16,7,Croatia,43,106,20.4,1.6,3.5825
Badredine Bouanani,7,6.66,3.35,2.2,2.07,1,OGC Nice,7,235,7.0,0.1,3.5700000000000003
Aurélio Gabriel Ulineia Buta,14,6.92,0.85,4.41,2.07,1,Eintracht Frankfurt,9,281,14.0,0.2,3.5625
Anwar El Ghazi,21,1.36,8.41,2.4,2.07,1,FSV Mainz 05,9,281,21.0,0.2,3.56
Diego da Silva Costa,21,0.83,2.87,2.44,8.09,1,Atlético Madrid,11,90,21.0,0.2,3.5575
Sanjin Prcić,76,6.92,3.42,1.82,2.07,1,Strasbourg,7,108,76.0,0.8,3.5575
José Antonio Reyes Calderón,89,1.38,5.26,1.92,5.67,1,Arsenal,2,44,89.0,1.0,3.5574999999999997
Martin Braithwaite Christensen,97,4.39,2.87,4.88,2.07,2,Barcelona,11,90,48.5,1.1,3.5525
Facundo Sebastián Roncaglia,6,2.81,8.8,0.52,2.07,1,Fiorentina,12,27,6.0,0.1,3.5500000000000003
Federico Bonazzoli,11,2.81,8.8,0.52,2.07,1,Sampdoria,12,27,11.0,0.1,3.5500000000000003
Yannik Keitel,16,1.62,5.26,5.25,2.07,1,Freiburg,9,281,16.0,0.2,3.55
Daniel Wass,92,6.06,3.19,2.87,2.07,1,Valencia,11,90,92.0,1.0,3.5475000000000003
Sabit Abdulai,46,1.92,5.26,4.94,2.07,1,Getafe,11,90,46.0,0.5,3.5475000000000003
Ali Al Hassan,49,0.34,6.42,5.34,2.07,1,Saudi Arabia,43,106,49.0,0.5,3.5425
Iñigo Córdoba Kerejeta,45,1.11,8.8,2.15,2.07,1,Deportivo Alavés,11,90,45.0,0.5,3.5325
Amauri Carvalho de Oliveira,12,2.81,0.85,0.52,9.95,1,Torino,12,27,12.0,0.1,3.5324999999999998
Lucas Torró Marset,79,7.97,2.31,1.77,2.07,1,Osasuna,11,90,79.0,0.9,3.53
Maximilian Wittek,93,4.57,3.35,4.12,2.07,1,Bochum,9,281,93.0,1.0,3.5275
Wayne Mark Rooney,124,1.8,3.53,6.7,2.07,2,Everton,2,44,62.0,1.4,3.5250000000000004
Alberto Soro Álvarez,21,5.9,0.85,5.26,2.07,1,Granada,11,90,21.0,0.2,3.52
Nicola Zalewski,89,1.33,7.29,3.37,2.07,1,Poland,55,282,89.0,1.0,3.5150000000000006
Lennard Maloney,187,4.0,1.8,6.18,2.07,2,FC Heidenheim,9,281,93.5,2.1,3.5125
Adrien Hunou,86,5.07,5.26,1.63,2.07,1,Angers,7,235,86.0,1.0,3.5075000000000003
Giuseppe Rossi,85,2.32,1.94,1.96,7.81,4,Fiorentina,12,27,21.2,0.9,3.5075
Jens Stage,91,5.15,3.73,3.07,2.07,1,Werder Bremen,9,281,91.0,1.0,3.5050000000000003
