player,season_id,minutes_played,cluster,Cluster Label
Kevin-Prince Boateng,27,73,0,Poacher
Ignatius Kpene Ganago,235,101,2,Complete Forward
Roman Yaremchuk,282,125,0,Poacher
Sergio Floccari,27,1408,0,Poacher
Daniel Ciofani,27,2938,0,Poacher
Pedro Guilherme Abreu dos Santos,106,71,0,Poacher
Famara Diedhiou,106,90,0,Poacher
Henry Josué Martín Mex,106,146,0,Poacher
Arnaud Kalimuendo Muinga,235,150,0,Poacher
Ciro Immobile,27,1009,2,Complete Forward
Mauricio Ricardo Pinilla Ferreira,27,1364,0,Poacher
Rafael Mir Vicente,90,181,3,Advanced Forward
Mohammed Muntari,106,68,0,Poacher
Robin Quaison,27,412,3,Advanced Forward
Alessandro Matri,27,815,1,Target Man
Martin Braithwaite Christensen,90,759,2,Complete Forward
Franco Damián Vázquez,27,1546,3,Advanced Forward
Mitchell Thomas Duke,106,270,2,Complete Forward
Kwadwo Duah,282,109,0,Poacher
Hugo Ekitike,235,631,2,Complete Forward
Luis Fernando Muriel Fruto,27,1541,2,Complete Forward
Cheikh Ahmadou Bamba Mbacke Dieng,106,114,0,Poacher
Michael Gregoritsch,282,135,1,Target Man
Nikola Kalinić,27,2577,0,Poacher
Bruno Petković,106,244,2,Complete Forward
Germán Gustavo Denis,27,999,0,Poacher
Mikel Oyarzabal Ugarte,282,146,0,Poacher
Marco Asensio Willemsen,106,229,3,Advanced Forward
Manolo Gabbiadini,27,503,0,Poacher
Edin Džeko,27,2017,1,Target Man
Juan Manuel Iturbe Arévalo,27,55,0,Poacher
Haji Wright,106,154,0,Poacher
Luiz Adriano de Souza da Silva,27,1125,0,Poacher
Luca Toni,27,1809,0,Poacher
Lautaro Javier Martínez,106,270,2,Complete Forward
Fabio Quagliarella,27,2604,3,Advanced Forward
Sergio Pellissier,27,951,0,Poacher
Riccardo Meggiorini,27,1530,2,Complete Forward
Gregoire Defrel,27,1891,3,Advanced Forward
Álvaro Borja Morata Martín,27,1375,0,Poacher
Ivan Perišić,27,138,0,Poacher
Stevan Jovetić,27,1330,1,Target Man
Khouma El Hadji Babacar,27,778,0,Poacher
Manuel Pucciarelli,27,3089,3,Advanced Forward
Uroš Đurđević,27,468,2,Complete Forward
Maximiliano Gastón López,27,1127,0,Poacher
Marcello Trotta,27,204,1,Target Man
Giampaolo Pazzini,27,1919,0,Poacher
Roberto Inglese,27,1409,0,Poacher
Stipe Perica,27,471,3,Advanced Forward
Josef Alexander Martínez Mencia,27,906,0,Poacher
Matteo Mancosu,27,915,2,Complete Forward
Francesco Totti,27,372,3,Advanced Forward
Aleksandar Trajkovski,27,690,2,Complete Forward
Jérémy Ménez,27,205,0,Poacher
Serge Gakpé,27,637,3,Advanced Forward
