player,minutes_played,finishing,early_shots,linkup_play,carrying,work_rate,back_to_goal,headed_duels,matches_played,avg_minutes_per_match,competition_id,season_id
Ivica Mornar,9,3.88,1.76,6.88,1.35,1.41,0.47,4.65,1,9.0,2,44
Ray Parlour,38,3.88,1.76,4.71,2.24,2.82,2.82,4.65,2,19.0,2,44
Luís Boa Morte Pereira,86,3.88,4.82,4.29,6.24,6.12,3.29,4.65,1,86.0,2,44
Barry Hayles,17,3.88,1.76,4.29,5.82,2.0,3.88,4.65,1,17.0,2,44
Óliver Torres Muñoz,31,3.64,1.62,9.42,3.25,2.34,10.0,4.35,1,31.0,11,90
Sergio Gómez Martín,32,3.64,1.62,7.27,4.81,4.03,8.83,4.35,1,32.0,11,90
Anthony Rubén Lozano Colón,36,3.64,1.62,0.91,7.6,2.47,7.4,4.35,1,36.0,11,90
Kenan Kodro,84,3.64,5.06,1.95,2.99,7.92,8.31,4.35,1,84.0,11,90
Borja Sainz Eguskiza,9,3.64,1.62,3.57,0.26,1.43,8.05,4.35,1,9.0,11,90
José Luis Sanmartín Mato,115,3.64,3.51,4.16,7.14,8.44,7.66,9.55,2,57.5,11,90
Jon Morcillo Conesa,13,3.64,1.62,5.45,6.23,6.36,4.74,4.35,1,13.0,11,90
Jonathan Rodríguez Menéndez,31,3.64,1.62,5.0,6.49,1.82,4.42,4.35,1,31.0,11,90
Enrique Barja Afonso,79,3.64,5.06,2.08,7.92,7.14,5.58,4.35,2,39.5,11,90
Enric Gallego Puigsech,19,3.64,1.62,1.49,1.69,1.1,9.55,4.35,1,19.0,11,90
Víctor Mollejo Carpintero,2,3.64,1.62,0.45,10.0,0.78,0.45,4.35,1,2.0,11,90
Shon Zalman Weissman,88,3.64,1.62,9.42,1.69,4.42,4.16,4.35,1,88.0,11,90
Thomas Lemar,10,3.64,1.62,9.42,1.69,0.26,3.96,4.35,1,10.0,11,90
Vicente Iborra De La Fuente,46,3.64,5.06,7.79,4.42,7.01,3.38,4.35,1,46.0,11,90
Ángel Martín Correa,83,3.64,5.06,8.83,7.14,6.49,3.64,4.35,1,83.0,11,90
Shinji Okazaki,14,3.64,5.06,3.57,1.69,2.08,3.96,9.94,1,14.0,11,90
Mariano Díaz Mejía,22,3.64,1.62,3.57,8.9,2.99,9.87,4.35,1,22.0,11,90
Francis Joseph Coquelin,33,3.64,1.62,1.49,4.22,9.61,9.22,4.35,1,33.0,11,90
Francisco Alcácer García,104,3.64,1.62,1.04,0.65,4.29,0.45,4.35,2,52.0,11,90
Miguel Baeza Pérez,9,3.64,1.62,0.45,1.69,1.95,0.45,4.35,1,9.0,11,90
Francisco António Machado Mota de Castro Trincão,31,3.64,5.06,2.73,8.44,0.52,0.45,4.35,1,31.0,11,90
Laureano Antonio Villa Suárez,48,3.64,1.62,9.09,5.58,5.06,2.86,4.35,1,48.0,11,90
