defender,team,minutes_played,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,matches_played,full_match_equivalent,box_defending_ci,aerial_ability_ci,one_v_one_ci,defensive_pressure_ci,ball_progression_ci,composite_score,competition_id,season_id
Nico Schlotterbeck,Borussia Dortmund,161.98,6.7,6.7,6.7,6.6,7.4,2,1.8,0.02,0.02,0.02,0.03,0.04,6.82,9,281
Ali Albulayhi,Saudi Arabia,194.93,7.0,7.0,7.0,7.0,6.1,2,2.2,0.03,0.03,0.03,0.03,0.05,6.82,43,106
Dante Bonfim da Costa Santos,OGC Nice,182.97,6.7,6.7,6.7,6.7,7.2,2,2.0,0.02,0.02,0.02,0.03,0.03,6.8,7,235
Mateusz Wieteska,Clermont Foot,176.98,6.6,6.6,6.6,6.6,7.6,2,2.0,0.02,0.02,0.02,0.03,0.03,6.8,7,235
Nico Elvedi,Switzerland,188.97,7.0,7.0,7.0,7.0,6.0,2,2.1,0.03,0.03,0.03,0.03,0.05,6.8,43,106
Attila Fiola,Hungary,178.95,6.8,6.8,6.8,6.5,6.9,2,2.0,0.03,0.03,0.03,0.04,0.06,6.76,55,282
Javier Sánchez de Felipe,Real Valladolid,162.97,6.7,6.7,6.7,6.7,6.9,2,1.8,0.02,0.02,0.02,0.03,0.04,6.74,11,90
Felipe Melo de Carvalho,Inter Milan,182.95,6.9,6.9,6.9,6.8,6.2,2,2.0,0.03,0.03,0.03,0.03,0.05,6.74,12,27
Paweł Dawidowicz,Poland,183.98,6.8,6.8,6.8,7.3,6.0,2,2.0,0.03,0.03,0.03,0.04,0.06,6.74,55,282
Anthony Rouault,Toulouse,184.97,6.7,6.7,6.7,6.7,6.8,2,2.1,0.02,0.02,0.02,0.03,0.03,6.72,7,235
Takehiro Tomiyasu,Japan,170.95,6.7,6.7,6.7,6.7,6.8,2,1.9,0.03,0.03,0.03,0.03,0.05,6.72,43,106
Matthias Ginter,Freiburg,151.98,6.6,6.6,6.6,6.5,7.3,2,1.7,0.02,0.02,0.02,0.03,0.04,6.72,9,281
Dylan Daniel Mahmoud Bronn,Tunisia,165.98,6.7,6.7,6.7,6.7,6.8,2,1.8,0.03,0.03,0.03,0.03,0.05,6.72,43,106
Rafael Jiménez Jarque,Cádiz,172.98,6.8,6.8,6.8,6.8,6.4,2,1.9,0.02,0.02,0.02,0.03,0.04,6.72,11,90
Maximilian Wöber,Austria,183.95,6.8,6.8,6.8,6.6,6.6,3,2.0,0.03,0.03,0.03,0.04,0.06,6.72,55,282
